Sample,Ant species,Caste,Habitat,Quadrat number,Season,Acari sp. 1,Acari sp. 3,Acariformes sp.,Achyranthes aspera,Acrididae sp.,Aegilops sp.,Agelenidae sp.,Ageratum conyzoides,Anagrus sp. ,Anyphenidae sp.,Aphididae sp.,Aphidinae sp.,Aphis nasturtii,Apocrita sp.,Apterograeffea marshallae,Blaberidae sp.,Blattella germanica,Boerhavia coccinea,Bourletiella sp.,Bourreria petiolaris,Brachymyrmex cordemoyi,Bucculatrix sp.,Camponotus maculatus,Carabidae sp.,Cardiocondyla emeryi,Cecidomyiidae sp.,Cenchrus echinatus,Ceratitis flexuosa,Chalcididae sp. 1,Chironomidae sp. 1,Chironomidae sp. 2,Chironomidae sp. 3,Chyrsomelidae sp.,Cicadellidae sp.,Clogmia albipunctata,Coccidae sp. ,Coecobrya tenebricosa,Coleoptera sp. 1,Coleoptera sp. 2,Collembola sp. 1,Collembola sp. 2,Combretum englerii,Coreidae sp. ,Corynoptera concinna,Crabronidae sp.,Crustacea sp. 1,Crustacea sp. 2,Cryptopygus sp.,Culex sp.,Cydnidae sp.,Damaeidae sp.,Desmodium incanum,Digitaria horizontalis,Dodonaea viscosa,Drosophila sp.,Drosophilidae sp.,Dysmicoccus brevipes,Ectopsocus,Elaeodendron orientale,Empididae sp.,Entomobrya nivalis,Erebidae sp.,Erigeron canadensis,Forda sp.,Frankliniella occidentalis,Fromundus sp.,Gastropoda sp. 1,Gastropoda sp. 2,Gastropoda sp. 4,Gastropoda sp. 5,Gastropoda sp. 6,Geograpsus grayi,Geometridae sp.,Gongylomorphus bojerii,Gryllodes sigillatus,Gymnosporia pyria,Halticidae sp.,Harmonia axyridis,Heterospilus sp.,Homidia socia,Hymenoptera sp.,Hypogastrura sp.,Hypoponera punctatissima,Hypoponera mu03,Ichneumonidae sp. 1,Ichneumonidae sp. 2,Ipomoea pes-caprae,Katiannidae sp.,Lasiocampidae,Lepidoptera sp. 1,Lepidoptera sp. 2,Lepidoptera sp. 3,Linyphiidae sp.,Lucilia sp.,Lycaenidae sp. 1,Lychas serratus,Megachilidae sp.,Merizocera sp.,Monomorium floricola,Nematoda sp.,Noctuidae sp. 1,Noctuidae sp. 2,Noctuidae sp. 3,Nylanderia bourbonica,Oligotoma saundersii,Orbatida sp.,Ornebius sp.,Papilionidae sp. 2,Passiflora pallida,Pentatomidae sp.,Pheidole indica,Pheidole megacephala,Pheidole parva,Philodromidae sp. 1,Phoridae sp. 1,Phoridae sp. 2,Phyllanthus muellerianus,Carabidae sp. 1,Pollenia sp. ,Polyscias maraisiana,Pompilidae sp. ,Porcellionidae sp.,Psocoptera sp.,Psychidae sp.,Psychodidae sp. 1,Psychodidae sp. 2,Psyllidae sp.,Pyralidae sp.,Rhyparochromidae sp.,Ruspolia differens,Scatopsidae sp.,Sciaridae sp. 1,Sciaridae sp. 2,Sciaridae sp. 3,Scolopendra abnormis,Solanum pinnatisectum,Staphylinidae sp. 1,Staphylinidae sp. 2,Strumigenys simoni,Syllophopsis sechellensis,Symphyta sp.,Syzgium sp.,Tachinidae sp.,Tapinoma melanocephalum,Tapinoma subtile,Technomyrmex pallipes,Technomyrmex vitiensis,Terminalia bentzoe,Tetramorium simillimum,Tipulidae sp.,Tomoceridae sp.,Tortricidae sp. 1,Tortricidae sp. 2,Tridax procumbens,Vincetoxicum confusum,Willowsia nigromaculata
1,Brachymyrmex cordemoyi,Worker,Crater,9,Dry,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Brachymyrmex cordemoyi,Worker,Crater,9,Dry,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Brachymyrmex cordemoyi,Worker,Crater,9,Dry,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Brachymyrmex cordemoyi,Worker,Crater,9,Dry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Brachymyrmex cordemoyi,Worker,Crater,9,Dry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Brachymyrmex cordemoyi,Worker,Crater,6,Wet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Brachymyrmex cordemoyi,Drone,Mixed weed,3,Dry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Brachymyrmex cordemoyi,Drone,Mixed weed,3,Dry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brachymyrmex cordemoyi,Drone,Mixed weed,15,Wet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,Brachymyrmex cordemoyi,Larva,Mixed weed,20,Dry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
