Taxon,Brachymyrmex cordemoyi,Camponotus maculatus,Cardiocondyla emeryi,Hypoponera mu03,Hypoponera punctatissima,Monomorium floricola,Nylanderia bourbonica,Pheidole indica,Pheidole megacephala,Pheidole parva,Strumigenys simoni,Syllophopsis sechellensis,Tapinoma melanocephalum,Tapinoma subtile,Technomyrmex pallipes,Technomyrmex vitiensis,Tetramorium simillimum
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brachymyrmex cordemoyi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
